			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
RC	2	6	81.03816	0.010	80.00966	0.000	85.01044	0.000	79.02805	0.000	88.00534	88.00534	87.01862	96.12657	88.00534
RC	2	7	101.08014	0.005	107.05135	0.000	107.05135	0.000	112.02965	0.000	116.02029	116.02029	116.02029	126.07017	116.02029
RC	2	8	62.02558	0.005	63.02389	0.000	63.02389	0.000	58.05962	0.000	65.01617	65.01617	65.01617	70.14083	65.01651
RC	2	9	68.05477	0.010	68.05477	0.000	68.05477	0.000	68.09719	0.000	76.05574	76.05574	76.05574	86.09792	76.05574
RC	2	10	80.04680	0.005	80.04680	0.005	80.04680	0.000	78.02089	0.000	81.03602	81.03602	81.03602	87.13568	81.03602
RC	2	11	82.05465	0.010	82.06327	0.000	82.06327	0.000	84.03346	0.000	91.01872	91.01872	91.01872	100.07924	91.01872
RC	2	12	83.00364	0.010	83.00364	0.000	83.00364	0.000	79.04836	0.000	85.02371	85.02371	85.02371	92.12911	85.02371
RC	2	13	96.09303	0.005	96.09303	0.000	93.06774	0.000	89.13889	0.000	100.09437	100.09437	100.09437	111.11788	100.09437
RC	2	14	73.06798	0.005	73.06798	0.000	78.03353	0.000	68.10230	0.000	80.05032	80.05032	80.05032	85.17685	80.05032
RC	2	15	71.04374	0.005	65.10288	0.000	71.04374	0.005	62.12827	0.000	71.04565	71.04565	71.04565	73.18205	71.04565
RC	2	16	73.07996	0.015	74.12974	0.000	74.12974	0.000	66.12800	0.000	79.04646	79.04646	79.04646	82.18689	79.04646
RC	2	17	68.09779	0.010	68.09779	0.000	68.09779	0.000	63.11067	0.000	71.02545	71.02545	71.02545	79.21715	71.02545
RC	2	18	80.09046	0.005	82.04246	0.000	82.04438	0.000	83.01888	0.000	85.01200	85.01200	85.01200	92.16113	85.01200
RC	2	19	78.05998	0.005	81.09889	0.000	80.07790	0.000	79.09724	0.000	91.01974	91.01974	91.01974	104.10765	91.01974
RC	2	20	62.08727	0.010	62.08727	0.000	66.04807	0.000	60.04326	0.000	67.08631	67.08631	67.08631	71.14454	67.08631
RAD	2	1	63.03127	0.005	63.03127	0.000	63.03127	0.000	63.03127	0.000	63.03127	63.03127	63.03127	63.25918	63.03127
RAD	2	2	77.13751	0.005	80.10378	0.000	81.05067	0.000	80.09223	0.005	85.01686	85.01686	85.01686	86.14560	85.01686
RAD	2	3	75.06402	0.010	77.03594	0.000	76.04641	0.000	75.03083	0.000	81.01891	81.01891	81.01891	84.12900	81.01891
RAD	2	4	81.00202	0.000	80.04520	0.000	80.04520	0.000	77.07888	0.000	82.03684	82.03684	82.03684	90.17045	82.03684
RAD	2	5	87.05018	0.000	87.05018	0.000	87.05018	0.000	87.05018	0.000	93.02461	93.02461	93.02461	100.16647	93.02461
RAD	2	6	96.04890	0.005	103.02762	0.005	96.05557	0.000	93.04219	0.000	107.01984	107.01984	107.01984	121.06494	107.01984
RAD	2	7	80.03040	0.000	78.02096	0.000	78.02096	0.000	84.03791	0.000	87.02413	87.02413	87.02413	97.06204	87.02413
RAD	2	8	78.04584	0.010	75.06873	0.000	75.06873	0.000	72.05411	0.000	78.04584	78.04584	78.04584	81.10403	78.04584
RAD	2	9	68.11755	0.005	75.02844	0.000	75.02844	0.000	73.03886	0.000	82.01637	82.01637	82.01637	91.06800	82.01637
RAD	2	10	43.55085	0.000	43.58460	0.000	43.01495	0.000	43.54502	0.000	47.00920	47.00920	47.00920	50.08620	47.00920
RAD	2	11	75.04263	0.010	75.03741	0.000	75.03741	0.000	80.07027	0.000	83.02423	83.02423	83.02423	92.07329	83.02423
RAD	2	12	82.04682	0.005	82.05673	0.000	85.03915	0.000	84.00845	0.000	87.01284	87.01284	87.01284	90.07334	87.01284
RAD	2	13	73.09411	0.005	73.09411	0.000	73.09411	0.000	78.02242	0.000	80.03165	80.03165	80.03165	83.12740	80.03165
RAD	2	14	76.10707	0.025	79.11296	0.000	79.11804	0.000	76.10969	0.000	86.08289	86.08289	86.08289	99.08514	86.08289
RAD	2	15	79.04254	0.000	73.04535	0.000	73.04535	0.000	73.03828	0.000	82.02541	82.02541	82.02541	89.15127	82.02541
RAD	2	16	72.02985	0.030	73.07771	0.000	75.02701	0.000	71.04801	0.000	78.02205	78.02205	78.02205	85.10339	78.02205
RAD	2	17	79.02017	0.020	76.01561	0.000	74.06381	0.000	67.06195	0.000	85.02528	85.02528	85.02528	94.12619	85.02528
RAD	2	18	74.09285	0.015	75.09293	0.005	75.09293	0.000	74.05895	0.000	78.06096	78.06096	78.06096	84.20162	78.06096
RAD	2	19	61.19819	0.000	61.16258	0.000	57.11625	0.000	64.18497	0.000	73.04023	73.04023	73.04023	76.18630	73.04023
RAD	2	20	43.00703	0.020	41.54359	0.000	41.54359	0.000	39.10453	0.000	43.00773	43.00773	43.00773	47.14886	43.00773
